case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
36647906,1,2,,35,87048,1957,2,1,,2,2,,,1,81,6,2
36647948,1,1,,36,10029,1984,2,3,,5,2,,,1,61,12,1
36648305,1,2,,36,12180,1941,1,1,,2,2,,,5,,8,2
36648785,1,2,,39,44437,1955,1,1,,4,2,,,3,81,5,2
36648935,3,,,49,84044,1975,1,1,,3,2,,,1,48,4,1
36649079,1,1,,6,95212,1940,2,2,,3,2,,,7,,9,1
36649133,1,1,,36,11977,1977,2,1,,6,1,1,,2,61,1,1
36650336,2,,1,45,29607,1984,2,1,,4,2,,,1,62,1,2
36651401,1,1,,36,11235,1943,2,2,,3,2,,,5,,8,1
36653504,1,4,,10,19904,1965,2,2,,6,,,3,6,,10,1
36653951,2,,3,48,75954,1961,2,1,,1,2,,,7,,9,2
36654125,2,,3,49,84058,1971,1,1,,5,2,,,1,54,1,2
36654281,1,1,,13,30328,1953,2,2,,3,2,,,4,,11,1
36654818,3,,,6,94702,1968,1,2,,5,1,3,,1,52,3,4
36654830,2,,4,12,32163,1950,2,1,,2,2,,,5,,8,2
36655415,2,,1,39,45212,1944,2,1,,2,2,,,5,,11,2
36655718,3,,,39,44057,1944,2,1,,2,1,1,,5,,12,2
36655922,2,,4,33,3110,1948,2,1,,1,2,,,1,62,12,6
36656573,3,,,19,50265,1984,2,1,,5,2,,,1,54,1,1
36656711,2,,1,6,92804,1981,1,6,,3,2,,,1,92,6,2
36657218,1,1,,22,71043,1959,2,2,,5,2,,,1,61,1,1
36657719,3,,,5,72207,1946,2,1,,2,2,,,6,,9,1
36661367,2,,1,48,75702,1951,2,1,,2,2,,,7,,9,2
36661835,3,,,56,82401,1960,2,1,,2,2,,,6,,12,
36663818,4,,,40,74948,1942,1,1,,2,2,,,6,,11,2
36665327,3,,,32,89701,1955,1,6,,6,2,,,3,54,2,2
36666632,2,,1,12,33773,1962,2,3,,5,1,1,,1,62,3,2
36666752,2,,1,5,72853,1948,1,1,,2,2,,,5,,1,2
36667004,4,,,40,73012,1973,2,1,,2,1,2,,7,,9,2
36667232,3,,,26,48054,1945,2,1,,2,2,,,5,,3,2
36668375,3,,,21,42330,1953,2,1,,2,2,,,1,92,6,2
36669005,1,3,,54,25951,1955,1,1,,3,1,1,,6,,8,2
36669392,4,,,29,63084,1972,2,1,,4,2,,,1,31,6,2
36670529,1,1,,18,46320,1970,2,1,,2,1,3,,1,23,6,1
36671024,1,1,,13,30629,1984,2,2,,5,1,1,,1,92,4,1
36671582,3,2,,25,2151,1965,2,1,,2,1,1,,6,,9,1
36671906,2,,1,29,63021,1956,2,1,,2,2,,,7,,9,2
36672851,4,,,37,27870,1971,1,1,,1,2,,,4,,11,
36673244,3,,,38,58103,1961,2,1,,2,1,2,,7,,9,2
36673718,1,2,,39,43609,1974,2,1,,5,1,2,,1,62,1,1
36674492,2,,1,26,49341,1977,2,3,,6,1,6,,1,23,2,2
36678071,3,,,22,71457,1958,2,1,,2,2,,,7,,11,
36678209,1,1,,9,6710,1961,2,1,,2,1,2,,1,31,12,1
36678815,3,,,48,78061,1943,2,3,,3,2,,,7,,9,1
36679457,2,,1,36,14305,1943,2,1,,2,2,,,5,,6,2
36680720,3,,,13,30047,1942,2,1,,2,2,,,7,,9,2
36682913,3,,,36,11803,1974,2,1,,5,2,,,1,44,4,1
36683297,2,,3,21,41031,1967,2,1,,2,2,,,3,44,5,2
36683459,3,,,36,11580,1962,2,2,,3,2,,,1,62,6,
36685469,2,,1,42,17545,1963,2,1,,2,1,2,,7,,,2
36686063,1,2,,10,19904,1933,2,2,,5,2,,,5,,6,1
36686495,1,2,,24,21228,1950,2,1,,2,2,,,5,,8,2
36686846,3,,,26,48219,1954,2,2,,2,2,,,7,,9,
36686849,3,,,24,21158,1969,1,1,,3,2,,,4,,11,2
36687707,2,,3,20,67410,1981,2,1,,5,1,3,,7,,9,2
36688694,1,1,,13,30062,1965,2,2,,6,2,,,1,52,6,1
36689591,2,,1,36,14171,1953,2,1,,2,2,,,2,44,4,2
36690680,2,,3,29,65441,1949,2,1,,2,2,,,1,31,12,2
36690989,3,,,24,20785,1968,2,2,,3,2,,,1,92,3,1
36693473,3,,,27,55449,1972,2,1,,5,1,2,,7,,9,2
36696467,2,,1,18,47235,1961,2,1,,4,2,,,2,81,6,2
36696665,3,,,48,75056,1955,2,1,,2,2,,,,48,3,2
36697862,2,,4,12,32073,1955,2,1,,2,2,,,8,,4,2
36697976,3,,,8,80227,1962,2,1,,2,2,,,1,72,3,2
36699080,2,,1,1,35057,1951,2,1,,3,2,,,7,,9,2
36700454,3,,,17,60193,1950,2,1,,2,2,,,5,,8,
36701657,3,,,16,83651,1981,2,1,,2,2,,,1,81,6,1
36702407,1,1,,47,38305,1976,2,2,,3,2,,,2,61,12,1
36703388,3,,,55,54733,1950,2,1,,2,2,,,2,62,12,1
36705053,1,2,,42,15209,1944,1,1,,2,2,,,5,,8,
36705140,1,1,,37,27603,1977,2,2,,6,2,,,8,,5,1
36706151,2,,1,24,21215,1983,1,1,,1,2,,1,,,3,2
36708494,3,,,26,48626,1959,2,1,,2,2,,,2,61,12,1
36710624,1,2,,39,44240,1930,2,1,,2,2,,,5,,8,2
36711791,2,,3,35,88001,1956,2,3,,3,2,,,7,,9,2
36712889,3,,3,29,64804,1958,1,1,,2,2,,,4,,11,2
36714224,3,,,17,60110,1949,2,1,,2,2,,,1,31,12,1
36715073,1,1,,6,92105,1963,1,2,,3,2,,,2,62,6,1
36715124,1,1,,6,90043,1948,2,2,,4,2,,,2,81,12,1
36715499,1,1,,36,11385,1971,1,2,,6,1,1,,1,92,3,1
36716267,1,1,,31,68025,1946,2,2,,4,2,,,2,44,12,2
36716759,2,,2,16,83709,1958,1,1,,4,1,1,,6,,9,2
36716780,2,,3,26,48746,1960,1,1,,2,2,,,1,11,1,2
36716903,3,,,37,27030,1975,2,1,,2,1,2,,7,,9,1
36717950,2,,2,39,45227,1974,2,1,,2,1,1,,1,52,6,2
36718649,3,,,49,84403,1981,2,1,,3,1,2,,7,,9,3
36718967,2,,1,26,48726,1964,1,1,,2,2,,,4,,11,2
36719156,2,,1,17,61931,1965,1,1,,2,2,,,1,31,12,1
